Nombre,Fecha de nacimiento,Residencia,Nacionalidad,Cargos,Educación,Trabajos previos,Área,Partido político,Familia,URL
Michelle Bachelet,"29 de septiembre de 1951 (73 años)Santiago, Chile",La Reina,Chilena,Médica; y; política; ,; Universidad de Chile,; Alta comisionada de las Naciones Unidas para los Derechos Humanos – 1 de septiembre de 2018-31 de agosto de 2022; ; Presidenta de la República de Chile – 11 de marzo de 2014-11 de marzo de 2018; ; Directora ejecutiva de ONU Mujeres; Secretaria general adjunta de la ONU – 14 de septiembre de 2010-15 de marzo de 2013; ; Vicepresidenta de Club de Madridpara Sur Global y América Latina – Desde el 8 de abril de 2024; ; Presidenta pro tempore de la Alianza del Pacífico – 1 de julio de 2016-30 de junio de 2017; ; Presidenta pro tempore de laUnión de Naciones Suramericanas – 23 de mayo de 2008-10 de agosto de 2009; ; Ministra de Defensa Nacional de Chile – 7 de enero de 2002-29 de septiembre de 2004; ; Ministra de Salud de Chile – 11 de marzo de 2000-7 de enero de 2002; ,,; Partido Socialista,Ángela Jeria (https://es.wikipedia.org/wiki/%C3%81ngela_Jeria); Alberto Bachelet (https://es.wikipedia.org/wiki/Alberto_Bachelet); ; Sebastián (https://es.wikipedia.org/wiki/Sebasti%C3%A1n_D%C3%A1valos); ,https://es.wikipedia.org/wiki/Michelle_Bachelet
Ángela Jeria,22 de agosto de 1926 Talca (Chile),"Santiago, Chile",Chilena,Arqueóloga; ,Universidad de Chile,,,; Partido Amplio de Izquierda Socialista; ; Partido Socialista de Chile,; Alberto Bachelet Martínez (https://es.wikipedia.org/wiki/Alberto_Bachelet); Michelle (https://es.wikipedia.org/wiki/Michelle_Bachelet); ,https://es.wikipedia.org/wiki/%C3%81ngela_Jeria
Alberto Bachelet,"27 de abril de 1923 Santiago, Chile",,Chilena,"Político; ,; militar; y; piloto de aviación; ",Internado Nacional Barros Arana,,,Independiente; Unidad Popular,; Ángela Jeria (https://es.wikipedia.org/wiki/%C3%81ngela_Jeria); Michelle Bachelet Jeria (https://es.wikipedia.org/wiki/Michelle_Bachelet_Jeria); ,https://es.wikipedia.org/wiki/Alberto_Bachelet
Sebastián Dávalos,"1 de junio de 1978 (46 años)Leipzig, República Democrática Alemana","Santiago, Chile",Chilena,Politólogo; y; político; Cohecho; y; estafa; ,; Universidad Central de Chile,; Director del Área Sociocultural de la Presidencia de la República de Chile – 17 de marzo de 2014-13 de febrero de 2015; ,,Partido Socialista,Michelle Bachelet Jeria (https://es.wikipedia.org/wiki/Michelle_Bachelet); ; ; ,https://es.wikipedia.org/wiki/Sebasti%C3%A1n_D%C3%A1valos
Axel Kaiser,4 de julio de 1981  (43 años)Santiago (Chile),Miami,Chilena y alemana,"Abogado; ,; escritor; ,; columnista; ,; profesor universitario; y; activista político; Director ejecutivo; (2012-2019); Presidente; (desde 2020); ",Universidad Diego Portales; B.L.; Universidad de Heidelberg; Maestría en Leyes; M.A.; Ph.D.,,"Estudios norteamericanos, filosofía política y economía política",,Johannes Kaiser (https://es.wikipedia.org/wiki/Johannes_Kaiser_Barents-Von_Hohenhagen); Vanessa Kaiser (https://es.wikipedia.org/wiki/Vanessa_Kaiser); Leif Kaiser; ,https://es.wikipedia.org/wiki/Axel_Kaiser
Johannes Kaiser (político),"5 de enero de 1976 (49 años)Santiago, Chile",,Chilena,Político; y; activista; ,,; Diputado de la República de Chile; Distrito N.o 10; La Granja; Macul; Ñuñoa; Providencia; San Joaquín; Santiago – Desde el 11 de marzo de 2022; ,,Republicano; [4]; [5]; [6]; [7]; Nacional Libertario; [8],[9]; [10]; Axel (https://es.wikipedia.org/wiki/Axel_Kaiser); Vanessa Kaiser (https://es.wikipedia.org/wiki/Vanessa_Kaiser); ,https://es.wikipedia.org/wiki/Johannes_Kaiser_Barents-Von_Hohenhagen
Vanessa Kaiser,"25 de octubre de 1977  (47 años) Santiago de Chile, (Chile)","Valparaiso, y Santiago de Chile",Chilena,"Columnista; ,; política; y; youtuber; ",Universidad Finis Terrae; Universidad de Chile; Pontificia Universidad Católica de Chile,; Concejal; Las Condes – 28 de junio de 2021-28 de abril de 2022; ,,; Partido Nacional Libertario; ; Partido Republicano,Johannes Kaiser (https://es.wikipedia.org/wiki/Johannes_Kaiser_Barents-Von_Hohenhagen); Axel Kaiser (https://es.wikipedia.org/wiki/Axel_Kaiser); Leif Kaiser; Friedrich Kaiser; ,https://es.wikipedia.org/wiki/Vanessa_Kaiser
Sebastián Piñera,"1 de diciembre de 1949Santiago, Chile",,Chilena,"Político; ,; empresario; ,; economista; , inversor,; consultor; ,; ingeniero; , dirigente deportivo y; emprendedor; ",Pontificia Universidad Católica de Chile; B.S.; Ingeniería comercial; Universidad Harvard; M.A.; Ph.D.; Ciencias Económicas,"; Presidente de la República de Chile – 11 de marzo de 2018-11 de marzo de 2022; Presidente pro tempore del Foro para el Progreso de América del Sur – 22 de marzo de 2019-12 de diciembre de 2020; ; Presidente pro tempore de la Comunidad de Estados Latinoamericanos y Caribeños – 3 de diciembre de 2011-28 de enero de 2013; ; Presidente pro tempore de la Alianza del Pacífico – 6 de julio de 2019-11 de diciembre de 2020; ; Senador de la República de Chile; Circunscripción 8, Santiago Oriente – 11 de marzo de 1990-11 de marzo de 1998; ","Economía, política y emprendimiento",Independiente; [nota 1]; Renovación Nacional,Familia Piñera; ; José Piñera (https://es.wikipedia.org/wiki/Jos%C3%A9_Pi%C3%B1era_Carvallo); ; ; Cecilia Morel (https://es.wikipedia.org/wiki/Cecilia_Morel); ; José (https://es.wikipedia.org/wiki/Jos%C3%A9_Pi%C3%B1era_Echenique); Miguel (https://es.wikipedia.org/wiki/Miguel_Pi%C3%B1era); Pablo Piñera Echenique (https://es.wikipedia.org/wiki/Pablo_Pi%C3%B1era); Bernardino Piñera (https://es.wikipedia.org/wiki/Bernardino_Pi%C3%B1era); ,https://es.wikipedia.org/wiki/Sebasti%C3%A1n_Pi%C3%B1era
José Piñera Carvallo,"22 de septiembre de 1917París, Francia",,Chilena,"Ingeniero; ,; diplomático; y; político; ",Pontificia Universidad Católica de Chile; Colegio de los Sagrados Corazones de Santiago,Embajador de Chile; Bélgica; ;  – 9 de abril de 1967-25 de julio de 1967; Embajador de Chile; Naciones Unidas; ;  – 1964-1970; ; Presidente; Federación de Estudiantes de la Universidad Católica de Chile – 1938-1945; ,,Partido Demócrata Cristiano; ,; ; José Piñera Echenique (https://es.wikipedia.org/wiki/Jos%C3%A9_Pi%C3%B1era_Echenique); Miguel Piñera (https://es.wikipedia.org/wiki/Miguel_Pi%C3%B1era); Pablo Piñera Echenique (https://es.wikipedia.org/wiki/Pablo_Pi%C3%B1era); Sebastián Piñera (https://es.wikipedia.org/wiki/Sebasti%C3%A1n_Pi%C3%B1era); ; ,https://es.wikipedia.org/wiki/Jos%C3%A9_Pi%C3%B1era_Carvallo
José Piñera Echenique,"6 de octubre de 1948 (76 años)Santiago, Chile","Santiago, Chile",Chilena,Economista; y; político; ,Pontificia Universidad Católica de Chile; Colegio del Verbo Divino,; Concejal; Conchalí – 26 de septiembre de 1992-6 de diciembre de 1996; ; Ministro de Minería de Chile – 29 de diciembre de 1980-4 de diciembre de 1981; ; Ministro del Trabajo y Previsión Social de Chile – 26 de diciembre de 1978-29 de diciembre de 1980; ,,; Unión Demócrata Independiente; [1],José Piñera Carvallo (https://es.wikipedia.org/wiki/Jos%C3%A9_Pi%C3%B1era_Carvallo); ; ; Sebastián (https://es.wikipedia.org/wiki/Sebasti%C3%A1n_Pi%C3%B1era); Miguel (https://es.wikipedia.org/wiki/Miguel_Pi%C3%B1era); Pablo Piñera Echenique (https://es.wikipedia.org/wiki/Pablo_Pi%C3%B1era_Echenique); ,https://es.wikipedia.org/wiki/Jos%C3%A9_Pi%C3%B1era_Echenique
