Familia,Miembro,Nombre Completo,Fecha de nacimiento,Residencia,Nacionalidad,Cargos,Educación,Empleador,Área,Medios,Movimientos,Familiares
Familia de Abos y Padilla,José Nicolás de Abós y Padilla,,"20 de octubre de 1773 Chillán , Imperio español",,,Militar,Real Seminario de Nobles de San Carlos,,,,,{}
Familia de Abos y Padilla,Rafaela Bezanilla,,"1797 Santiago , Chile , Reino de España",,Chilena,Política,,,,,,{}
Familia de Abos y Padilla,Familia de Abos y Padilla,,,,,,,,,,,{}
Familia de Abos y Padilla,José Domingo Bezanilla,José Domingo Bezanilla Bezanilla,"21 de febrero de 1788 Santiago del Nuevo Extremo , Virreinato del Perú , Imperio español",,Chilena,Abogado y político,,,,,,{}
Familia Allamand,Andrés Allamand,,7 de febrero de 1956 (69 años) Santiago de Chile ( Chile ),"Santiago , Chile",Chilena,Abogado y político,Universidad de Chile,,,,,{}
Familia Allamand,Miguel Allamand,,"9 de mayo de 1925 Talca , Chile",,Chilena,"Ingeniero civil , empresario y político",Universidad Católica de Chile,,,,,{}
Familia Allamand,Ignacia Allamand,María Ignacia Allamand Lyon,"29 de agosto de 1981 (43 años) Santiago , Chile",,Chilena,Actriz,,,,,,{}
Familia Allamand,Maité Allamand,Jeanne Dominique Marie Therese Allamand Madaune,29 de octubre de 1911 o 1911 Comuna de Santiago ( Chile ),,Chilena,"Escritora , diplomática y escritora de cuentos",,,,PEN Club Internacional International Board on Books for Young People,,{}
Familia Amunátegui,Miguel Luis Amunátegui,Miguel Luis Amunátegui Aldunate,"11 de enero de 1828 Santiago , Chile",,Chilena,"Escritor , historiador y político",Universidad de Chile Instituto Nacional,,,,,{}
Familia Amunátegui,José Domingo Amunátegui Borgoño,,1832 Chillán ( Chile ),,Chilena,Militar,,,,Academia de Guerra del Ejército de Chile,,{}
Familia Amunátegui,Domingo Amunátegui,,20 de octubre de 1860 Santiago de Chile ( Chile ),,Chilena,"Abogado , político e historiador",Universidad de Chile Instituto Nacional,,,Sociedad Chilena de Historia y Geografía,,{}
